Div,kind,PARTS NO,Size,ENG_NAME,CURR_INV,miniAmount,location,JP stocks
BW,PARTS,BM1-3378-000,000,"PCB ASS'Y ,PLVM8",2,2,神岡,0
BW,PARTS,BM1-3407-000,000,LAMP LIGHTING UNIT,1,1,神岡,0
BW,PARTS,BM1-3437-000,000,"PCB ASS'Y,PL MISC",4,2,神岡,0
BW,PARTS,BM1-3439-000,000,"PCB ASS'Y,PL CONT",4,2,神岡,2
BW,PARTS,BM1-3476-000,000,"PCB ASS'Y,SCAN MV",0,1,神岡,0
BW,PARTS,BM1-3520-000,000,PRESSURE SENSOR UNIT,2,1,神岡,3
BW,PARTS,BM1-3548-000,000,PROXIMITY SENSOR UNIT,1,1,神岡,0
BW,PARTS,BM1-3632-000,000,"PCB ASS'Y,PPC POWER",2,2,神岡,13
BW,PARTS,BM1-3643-000,000,"THETA UNIT,CHUCK",2,2,神岡,4
BW,PARTS,BM1-3713-000,000,"PCB ASS'Y,MX SP2",3,2,神岡,0
BW,PARTS,BM1-3761-000,000,"FLEXIBLE CABLE UNIT,Y2",3,2,神岡,12
BW,PARTS,BM1-3763-000,000,"FLEXIBLE CABLE UNIT,Y5",6,2,神岡,11
BW,PARTS,BM1-3863-000,000,"PCB ASS'Y ,UC SP MODULE",2,1,神岡,1
BW,PARTS,BM1-4099-000,000,PCB ASS'Y MONITOR PANEL,1,1,神岡,2
BW,PARTS,BM1-4463-000,000,PCB ASS'Y PARALLEL I/0 MODULE,2,1,神岡,3
BW,PARTS,BM1-4968-000,000,"PCB ASS Y,MATRIX-OUT1",3,2,神岡,0
BW,PARTS,BM1-4969-000,000,"PCB ASS'Y,MATRIX-OUT2",4,2,神岡,0
BW,PARTS,BM1-4970-000,000,"PCB ASS'Y,MATRIX-DSP",2,2,神岡,0
BW,PARTS,BM1-5364-000,000,"FLEXIBLE CABLE UNIT,Y1",2,2,神岡,1
BW,PARTS,BM1-5365-000,000,"FLEXIBLE CABLE UNIT,Y2",2,2,神岡,1
BW,PARTS,BM1-5366-000,000,"FLEXIBLE CABLE UNIT,Y3",2,2,神岡,2
BW,PARTS,BM1-5367-000,000,"FLEXIBLE CABLE UNIT,Y4",2,2,神岡,1
BW,PARTS,BM1-5368-000,000,"FLEXIBLE CABLE UNIT,Y5",3,2,神岡,0
BW,PARTS,BM1-5381-000,000,"FLEXIBLE CABLE UNIT,X1",2,2,神岡,3
BW,PARTS,BM1-5382-000,000,"FLEXIBLE CABLE UNIT,X2",2,2,神岡,8
BW,PARTS,BM1-5383-000,000,"FLEXIBLE CABLE UNIT,X3",2,2,神岡,3
BW,PARTS,BM1-6124-000,000,"FLEXIBLE CABLE UNIT,X4",3,2,神岡,2
BW,PARTS,BM1-7922-000,000,"FLEXIBLE CABLE UNIT, PSY1",10,3,神岡,3
BW,PARTS,BM1-7923-000,000,"FLEXIBLE CABLE UNIT, PSY2",12,3,神岡,7
BW,PARTS,BM1-7925-000,000,"FLEXIBLE CABLE UNIT,MS1",3,2,神岡,1
BW,PARTS,BM1-8717-000,000,"ROTARY ENCODER UNIT,XMB-L",2,1,神岡,0
BW,PARTS,BM1-9135-000,000,"PCB ASS'Y,MEASUREMENT BOARD A1 US(六項管制品)",0,2,神岡,3
BW,PARTS,BM1-9136-000,000,"MEASUREMENT BOARD,AXIS2(六項管制品)",0,2,神岡,3
BW,PARTS,BM1-9137-000,000,"PCB ASS'Y, MEASUREMENT BOARD A3(六項管制品)",0,2,神岡,3
BW,PARTS,BM1-9138-000,000,"PCB ASS'Y,LASER MEASUREMENT BOARD AXIS4(六項管制品)",0,2,神岡,3
BW,PARTS,BM1-9139-000,000,"CABLE UNIT,REF JAMPER1",2,2,神岡,2
BW,PARTS,BM1-9140-000,000,"CABLE UNIT,REF JAMPER2",2,2,神岡,2
BW,PARTS,BM1-9141-000,000,"CABLE UNIT,REF JAMPER3",2,2,神岡,2
BW,PARTS,BM1-9686-000,000,"PCB ASS'Y,OPT HEAD 2",4,1,神岡,3
BW,PARTS,BM1-9706-000,000,"CABLE UNIT,OPT MOVING 2",1,1,神岡,2
BV,PARTS,BM3-0184-000,000,AIN SLAVE-L PCB ASS'Y,2,2,神岡,0
BV,PARTS,BM3-0235-000,000,RS-FET-SWITCH(L) UNIT,1,1,神岡,0
BV,PARTS,BM3-0236-000,000,RS-FET-SWITCH(R) UNIT,2,1,神岡,1
BV,PARTS,BM3-6258-000,000,"UL-PS-DRV PCB ASS,Y",2,2,神岡,5
BV,PARTS,BM3-6858-000,000,"MAIN SHUTTER UNIT, 3RD TYPE",1,1,神岡,0
BV,PARTS,BM3-6991-000,000,ND FILTER UNIT 1,5,1,神岡,0
BV,PARTS,BM3-6992-000,000,ND FILTER UNIT 2,7,2,神岡,0
BV,PARTS,BM3-7701-000,000,CDIF 2A PCB ASS'Y,3,2,神岡,3
BV,PARTS,BM3-7880-000,000,"INDEXER UNIT, SMIF NRI",0,2,神岡,0
BV,PARTS,BM3-8305-000,000,RC-IFA PCB ASS'Y,2,2,神岡,8
BV,PARTS,BM3-9726-000,000,CDIF 5A PCB ASS'Y,2,2,神岡,0
BV,PARTS,BM4-0513-000,000,"AIN_IFA PCB ASS'Y, 5510IZ",2,2,神岡,2
BV,PARTS,BM4-0521-000,000,"AIN_SLAVE_R1A PCB ASS'Y, ES2",2,2,神岡,0
BV,PARTS,BM4-0726-000,000,"CABLE ASS'Y, RH-32",1,1,神岡,1
BV,PARTS,BM4-1247-000,000,"PCB ASS'Y, CDIF5A, 5550IZ",2,2,神岡,0
BV,PARTS,BM4-4492-000,000,"PCB ASS'Y, AIN_SLAVE_R1",3,2,神岡,3
BV,PARTS,BM4-4979-000,000,MLE-IF5,2,1,神岡,3
BV,PARTS,BN3-1386-000,000,MIRROR,3,2,神岡,3
BV,PARTS,BN3-5449-000,000,"FILTER,SHORT-WAVELENGTH",2,2,神岡,3
BV,PARTS,BN9-3914-000,000,"PARALLEL PLAIN PLATE, GLASS",3,2,神岡,0
BW,PARTS,BS2-3239-000,000,GEAR CS-14-88-2A-R-SP,3,3,神岡,2
BW,PARTS,BS2-4291-000,000,TIMING BELT. CR,4,4,神岡,6
BV,PARTS,BS2-8208-000,000,"CLUTCH, HYSTERESIS",0,1,神岡,0
BV,PARTS,BS2-8343-000,000,"COUPLING, MOTOR, AL",0,1,神岡,3
BW,PARTS,BS2-9104-000,000,"SCREW,BALL(COMPLEX BUSH)",7,2,神岡,11
BW,PARTS,BS2-9162-000,000,"SCREW,BALL(COMPLEX BUSH)",6,2,神岡,19
BV,PARTS,BS6-1661-000,000,AIR CYLINDER,5,2,神岡,15
BV,PARTS,BS6-2465-000,000,"COOLANT,FLUORINERT FC-3283 FPA-5000ES3(5KGS)",8,0,神岡,0
BV,PARTS,BS6-3291-000,000,"FILTER,AIR (ORGANIC FILTER)",9,3,神岡,4
BV,PARTS,BS6-3292-000,000,"FILTER,AIR(ORGANIC FILTER)",18,6,神岡,0
BV,PARTS,BS6-3469-000,000,"FILTER,AIR(EPIX BD)",18,6,神岡,0
BV,PARTS,BS6-3487-000,000,"FILTER,AIR(396*367*50)",9,3,神岡,0
BW,PARTS,BS7-4107-000,000,CYLINDER,3,3,神岡,10
BW,PARTS,BS7-4182-000,000,"CYLINDER,AIR",2,2,神岡,2
BW,PARTS,BS7-5144-000,000,"VALVE,REGULATOR",3,3,神岡,0
BV,PARTS,E08X260146HD,000,146GB SAS HOT-SWAP HARD DRIVE 10KRPM,0,1,神岡,0
BV,PARTS,GG0-1195-000,000,"PCB ASS'Y, 12CH DRV, MAIN",1,1,神岡,2
BV,PARTS,GG0-1196-000,000,"PCB ASS'Y, 12CH DRV, MBX",1,1,神岡,4
BV,PARTS,GG0-1512-000,000,"PCB ASS'Y, 12CH DRV, POBM",1,1,神岡,3
BW,PARTS,GG0-4502-000,000,"PCB ASS'Y,MS DIST",1,1,神岡,2
BW,PARTS,GG0-5379-000,000,"TEMPERATURE SENSOR UNIT,UM PT",1,1,神岡,0
BW,PARTS,GG0-5589-000,000,"PCB ASS'Y,SCAN MV",1,1,神岡,0
BW,PARTS,GG0-6964-000,000,"PCB ASS'Y,AIN2-LCD MODULE",1,1,神岡,0
BW,PARTS,GG0-8752-000,000,"LASER HEAD,MS,7714",1,1,神岡,7
BW,PARTS,GG0-8753-000,000,"LASER HEAD,PS,7714",2,1,神岡,9
BW,PARTS,GG0-8774-000,000,"CABLE UNIT,DEFERENCE",0,1,神岡,0
BV,PARTS,GG1-0655-000,000,"PCB ASS'Y, SCH_INLINE-2",1,1,神岡,0
BV,PARTS,GG1-1248-000,000,"PCB ASS'Y, MATRIX-3_DSP(RT)",1,1,神岡,0
BW,PARTS,GG1-3362-000,000,"LASER SCALE,LS-PSZ-LB",2,1,神岡,1
BV,PARTS,GG1-7824-000,000,"ROBOT HAND UNIT, SMIF RETICLE",2,2,神岡,0
BV,PARTS,GG1-8188-000,000,EXPO4-IF PCB ASS'Y,1,1,神岡,10
BV,PARTS,GG1-8189-000,000,"BOARD COMPUTER, IP7, WIN_XP_EM",1,1,神岡,3
BV,PARTS,GG1-8899-000,000,MISC-IF PCB ASS'Y,1,1,神岡,3
