Div,kind,PARTS NO,Size,ENG_NAME,CURR_INV,miniAmount,location,JP stocks
BV,PARTS,GY1-0122-000,000,"LENS UNIT, 2ND-CON'R, OPTICAL",2,1,神岡,6
BV,PARTS,GY1-0123-000,000,"LENS UNIT, 2ND-CON'R, OPTICAL",2,1,神岡,0
BV,PARTS,GY1-0136-000,000,"LASER HEAD, 7714,WS",3,2,神岡,6
BV,PARTS,GY1-0199-000,000,"LENS UNIT, C-TYPE, OPTICAL",1,1,神岡,7
BV,PARTS,GY1-0252-000,000,CYLINDRICAL CONVEX LENS UNIT,10,3,神岡,10
BV,PARTS,GY1-0253-000,000,CYLINDRICAL CONCAVE LENS UNIT,3,3,神岡,5
BV,PARTS,GY1-0392-000,000,SH_CABLE RETROFIT KIT,2,2,神岡,11
BV,PARTS,GY1-0393-000,000,RH_CABLE RETROFIT KIT,1,1,神岡,4
BV,PARTS,GY2-0148-000,000,"BATTERY, NI-MH,(HR-4/3FAUPC)X6",3,1,神岡,0
BV,PARTS,GY2-0199-000,000,"FILTER, FLUID",1,1,神岡,0
BV,PARTS,GY2-0928-000,000,"PUMP UNIT, PW",1,1,神岡,10
BW,PARTS,GY5-0394-000,000,"REGULATOR ASS'Y,MODIFY PARTS C",4,1,神岡,12
BW,PARTS,GY5-0717-000,000,"CABLE UNIT,AS POWER 1",16,1,神岡,7
BW,PARTS,GY5-0718-000,000,"CABLE UNIT,AS POWER 2",16,1,神岡,7
BW,PARTS,GY5-0924-000,000,POWER MASTER PCB UNIT,1,1,神岡,2
BW,PARTS,GY5-0981-000,000,LAMP POSITION ADJUST UNIT,3,2,神岡,1
BW,PARTS,GY5-1055-000,000,"BLOCK, LEFT WING, AL W/CASE",0,1,神岡,0
BW,PARTS,GY6-0042-000,000,PRESSURE INDICATOR,1,1,神岡,1
BW,PARTS,GY6-0049-000,000,PRESSURE SENSOR,1,1,神岡,0
BW,PARTS,GY6-0095-000,000,"FUSE,3.2A",13,3,神岡,8
BW,PARTS,GY6-0235-000,000,INVERTER,5,2,神岡,1
BW,PARTS,GY6-0284-000,000,BLOWER K3G,3,1,神岡,0
BW,PARTS,GY6-1892-000,000,REFRIGERATOR UNIT,6,2,神岡,10
BW,PARTS,GY6-2249-000,000,ELECTRIC MOTOR VALVE ASS'Y,3,1,神岡,9
BP,PARTS,N55864346,000,786434 PI-3C GAUGE HEAD (ALUMINIUM),2,2,神岡,0
BP,PARTS,P16-21924,000,981-9350 FILAMENT ASSY FOR ALD,2,3,神岡,0
BW,PARTS,PNOZ M1P,000,SAFETY PLC,3,1,神岡,0
BW,PARTS,VD7-0321-001,000,"FUSE, 1A 125V/AC",12,1,神岡,394
